mnn,trade_name,drug_id,file_name
Бусерелин,Бусерелин-депо,2429bcf2-4537-4c2f-bbe7-a7e5edb4177a,4a9cdd54-1502-4c5a-8476-04584dc63de4.pdf
Бусерелин,Бусерелин,e69deef9-b907-4474-95f5-5173195b70a8,4dc0abd0-4f20-4dff-871e-3dfa1523a603.pdf
Бусерелин,Бусерелин,39276112-9d47-4bec-96cb-7f7f4fec5803,f60046cd-3f56-4d92-93cf-aa49ffdab8fe.pdf
Бусерелин,Бусерелин,dac665c6-454b-4df9-a8c7-e62434f0f7d5,Р_N002373_01-2003[2010]_0.pdf
Бусерелин,Бусерелин-депо,b4bfd557-29eb-4396-afef-d358b1f9ee82,Р_N002378_01-2003[2011]_0.pdf
Бусульфан,Эмсульфан,bdb27273-2bf5-4d9e-b3a8-ca5b602804be,06a7881a-0e7e-45c2-9ec5-d8b07acc52ee.pdf
Бусульфан,Милеран,89455b89-4229-478f-a314-81ebda8e1acd,2e293433-aa5d-46f5-a24a-4964d04a1784.pdf
Бусульфан,Бусульфан-натив,b206e6a9-4aa6-421e-8225-4df614ac827f,38620cd0-5c36-41ae-9882-4b9fb67ac750.pdf
Бусульфан,Бусульфан-РУС,9d79344d-192b-44aa-a998-e31d2230460b,c3cf1d26-d055-418b-814e-4d90ad1e9587.pdf
Вандетаниб,ВАНДЕТАНИБ-ПРОМОМЕД,00ba02ff-f983-46be-89c0-dde34340b389,2d43aac7-ac12-4945-9552-5cb9f5a72df6.pdf
Вандетаниб,Капрелса,a014c17b-7cdb-4993-9974-00b1718c9f6a,fc33bc24-0310-4774-8bfd-4af1bd43385c.pdf
Вемурафениб,Зелбораф,2e763c4e-9922-41ae-98ef-d7b2486dfe05,f0e58d23-39ee-4922-8f55-ba31f8de5aa3.pdf
Венетоклакс,Венклекста,8cedd65b-3e00-4f7d-aac9-445505cc9d41,508cc796-a8bd-4236-9847-5f010cae0ba8.pdf
Венетоклакс,Венклекста,a1111a51-349d-4ff6-b92a-40e2bc0da33d,5325e6d9-80ec-40b1-ac02-0117dc58141d.pdf
Винорелбин,Винорелбин-АМЕДАРТ,65c9ec64-0b57-4965-a418-55b8c5cbe96b,08747b75-9399-42c8-a21b-1ec35e1b836c.pdf
Винорелбин,Винорелбин-Тева,4dd8f861-b3b4-4ab2-a2a1-cefbf3f2889c,0daab879-741c-4e06-8bab-1b8d0c30cc4f.pdf
